0,1,2,3,4,5,6,7,8,9
True,False,False,False,False,False,False,False,False,False
True,True,True,True,True,True,False,False,False,False
True,True,True,True,True,False,False,False,False,False
True,True,True,True,True,True,False,False,False,False
True,True,True,True,True,True,False,False,False,False
True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True,True,False
True,True,True,True,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True,True,True
True,True,False,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,False,False,False,False
True,True,True,True,True,True,True,False,False,False
True,True,True,True,True,True,True,True,True,True
True,True,False,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True,True,True
True,True,True,True,False,False,False,False,False,False
True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,False,False,False
True,False,False,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True,True,False
True,True,True,True,True,True,True,False,False,False
True,True,True,True,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False
True,True,True,True,True,True,True,False,False,False
